Source,Target,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4,Weight_5,Weight_6,Weight_7,Weight_8,Weight_9,Weight_10,Weight_11
b3461,b1280,0.3154114952300326,0.32086631397828774,0.3163941711569623,0.3436184621367964,0.35647304392359735,0.3667573053759866,0.35846226744048615,0.34098979049390205,0.3134900315629223,0.2734521094843707,0.24753852532487813,0.23328734797141865
b3067,b1280,0.6652551008585174,0.6649538168932058,0.6731409093692778,0.6838172072566269,0.663463370241854,0.6583972732974209,0.6577771811404283,0.6695552357549996,0.6963276993645992,0.7180536124302239,0.7493824719921395,0.7809368125249305
b1280,b1280,0.4813865684833996,0.48409194264314614,0.4856106773951764,0.5049762602322625,0.502074755136705,0.5050764433157787,0.5004221363486006,0.49682676623489647,0.4950770052827057,0.48434991279402473,0.48561144829813274,0.4931114589311901
b3461,b3497,0.505780580550078,0.5075247266830869,0.5094557428813007,0.5276714242834658,0.5233101414875344,0.5272877520461874,0.526804851555344,0.5301890252807597,0.5376610937600346,0.5358012881786597,0.5441183591941501,0.5571902175764886
b3497,b3497,0.4837275861104364,0.48674626839524465,0.48860955353716695,0.507733035002158,0.5037754132869299,0.504794694497617,0.49688319058853114,0.4889674530675322,0.4825142657952873,0.4678083466965946,0.4663128869352612,0.4715715321195951
b0162,b2789,0.48513932529085935,0.48667588811028945,0.4876087469378286,0.507418775768702,0.5069597668904929,0.5154338433125258,0.5194596349532558,0.5263726890799342,0.5356218662121147,0.534057736598036,0.5416756016331357,0.5544523734022796
b2789,b2789,0.502722027722556,0.5057226265853765,0.5082979541596668,0.5258266613460623,0.5182727536214006,0.5152256170815998,0.5032536960707755,0.4921103247717171,0.48389431163692076,0.4686439795687843,0.4674140147056993,0.47256105442579144
b2714,b0820,0.483194617770559,0.4964119749993135,0.49625830736980964,0.5144521401310097,0.5060065873553098,0.5054054585367405,0.5060972528757917,0.5009805558299874,0.506297990957501,0.4778946941729689,0.4917004772268057,0.5074210558357531
b3357,b0820,0.493176528994039,0.4772824665978062,0.48708594817259804,0.4981931570126481,0.5075033903508787,0.5179626619164205,0.5068468723759778,0.5084510873047817,0.4850201054462923,0.5147371859092086,0.5080061773091876,0.503981597694233
b0889,b0820,0.4836492922800164,0.4865258307189665,0.4943694105814232,0.5010752027125772,0.5029991605537065,0.5082056310962636,0.5070350200475738,0.5052761104408084,0.4886956112455755,0.48698715716094754,0.5039730282993908,0.5130490301596549
